record_id,evidence_date,evidence_date_descriptive,large_area,small_area,scientific_name,common_name,id_quality,evidence_type,collision_evidence,strike_result,other_info,vessel_type,scientific_name_clean,species_status,species_analysis_name,id_quality_clean,analysis_confidence,evidence_type_clean,evidence_context,strike_result_clean,outcome_known,fatal_outcome,fatal_label,vessel_type_clean,vessel_category,large_area_clean,ocean_basin,date_description_clean,date_precision,year_start,year_end,analysis_year,year_source,analysis_decade,include_species_frequency,include_species_fatality,include_confirmed_species,include_vessel_outcome,include_region_outcome
451,2006-04-26T00:00:00Z,NA,Atlantic Ocean - South,"Bahia dos Golfinhos, Fernando de Noronha Archipelago, Brazil",Stenella longirostris,spinner dolphin,Confirmed,At Sea,NA,NA,"Spinner dolphin with both jaws mutilated, propeller scars on flank, fatal prognosis, Fernando de Noronha Archipelago, Brazil. Camargo and Bellini (2006) Photographs included in reference paper. ""As the dolphin was very emaciated and moved arduously, we c",Not known,Stenella longirostris,Identified to species,Stenella longirostris,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - South,Atlantic Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
452,NA,11 to 15 June 2001,Pacific Ocean - South,"Mahurangi Harbour, New Zealand",Mesoplodon grayi,Gray's beaked whale,Confirmed,At Sea,NA,NA,"Gray's beaked whale with healed propeller wounds, New Zealand Wounds appeared to have fully healed. Strike involving a large ocean-going vessel, such as a container ship, bulk carrier, or cruise liner. (Dalebout et al. 2004). Photographs included in refer",Not known,Mesoplodon grayi,Identified to species,Mesoplodon grayi,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,11 to 15 june 2001,Descriptive year,2001,2001,2001,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
453,1982-02-10T00:00:00Z,"February 10, 1982 and re-sightings to 1997",Pacific Ocean - Tasman Sea,New Zealand,Orcinus orca,killer whale,Confirmed,At Sea,NA,NA,"Killer whale with deep propeller wounds healed but with mutilations and altered growing development, New Zealand (Visser 1999) Individual NZ25. Photographs included in reference paper.",Not known,Orcinus orca,Identified to species,Orcinus orca,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - Tasman Sea,Pacific Ocean,"february 10, 1982 and re-sightings to 1997",Exact date,1982,1982,1982,Exact date,1980s,TRUE,FALSE,TRUE,FALSE,FALSE
454,1995-09-21T00:00:00Z,"September 21, 1995 and re-sightings to 1996",Pacific Ocean - Tasman Sea,New Zealand,Orcinus orca,killer whale,Confirmed,At Sea,NA,NA,"Killer whale with two cuts in dorso-caudal region, healed, New Zealand (Visser 1999) Individual NZ51 ""Dian"" re-sighted 5 times over a 15 months period (1995 - 1996). Photographs included in reference paper.",Not known,Orcinus orca,Identified to species,Orcinus orca,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - Tasman Sea,Pacific Ocean,"september 21, 1995 and re-sightings to 1996",Exact date,1995,1995,1995,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
455,2002-08-22T00:00:00Z,NA,Atlantic Ocean - North,"Off Ocean City, Maryland, US East Coast",Eubalaena glacialis,North Atlantic right whale,Confirmed,At Sea,NA,NA,"Female northern right whale with large laceration, Maryland, USA (Nelson et al., 2007) Female 1 year old",Not known,Eubalaena glacialis,Identified to species,Eubalaena glacialis,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2002,2002,2002,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
456,2001-07-29T00:00:00Z,NA,Atlantic Ocean - North,"south of Verrazano Bridge, New York, US East Coast",Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,"Humpback whale floating, with lacerations on head and fractured skull, New York, USA, (Cole et al. 2005 and Nelson et al., 2007) See Cole et al. (2005)",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
457,2005-03-26T00:00:00Z,NA,Atlantic Ocean - North,"Off Virginia Beach, Virginia, US East Coast",Balaenoptera physalus,fin whale,Confirmed,At Sea,NA,NA,"Fin whale with fractures and hemorrhaging, off Virginia Beach, USA, Nelson et al. (2007). Category of record not suggested Category not indicated or suggested, tentative geographic position, see Nelson et al. (2007)",Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2005,2005,2005,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
458,1999-03-25T00:00:00Z,NA,Pacific Ocean - North,"Olowalu, Off Maui Island, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,"Humpback whale calf survived and recovered from deep propeller wounds, Hawaii, USA. (Deakos et al., 1999, cited by Lammers et al., 2003 and 2006) Tentative location. The calf and mother were re-sighted in the Maui region on three other occasions over a pe",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
459,1999-01-17T00:00:00Z,NA,Pacific Ocean - South,"Off Wainui, Akaroa Harbor, New Zealand",Cephalorhynchus hectori,Hector's dolphin,Confirmed,At Sea,NA,NA,"Calf Hector dolphin found dead in the sea, New Zealand (Stone and Yoshinaga, 2000) 4 weeks old dolphin. Stone and Yoshinaga (2000). Accompanied by mother, showing epimeletic behaviour.",Not known,Cephalorhynchus hectori,Identified to species,Cephalorhynchus hectori,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
460,1999-01-18T00:00:00Z,NA,Pacific Ocean - South,"Off Wainui, Akaroa Harbor, New Zealand",Cephalorhynchus hectori,Hector's dolphin,Confirmed,At Sea,NA,NA,"Calf Hector dolphin found dead with boat strike wounds, New Zealand (Stone and Yoshinaga, 2000) Photograph and necropsy report included in referenced paper. 4 weeks old calf. 1km distant from previous record (Specimen at Sea 57)",Not known,Cephalorhynchus hectori,Identified to species,Cephalorhynchus hectori,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
461,2006-12-30T00:00:00Z,NA,Atlantic Ocean - North,"10-12 miles off Brunswick, Georgia, US East Coast",Eubalaena glacialis,North Atlantic right whale,Confirmed,At Sea,NA,NA,"Juvenile northern right whale sighted dead with multiple propeller wounds, Georgia, towed ashore to Florida, USA. New England Aquarium (2007) Photographs included in referenced web page. Tentative location. First spotted floating belly up at 10:30 a.m. S",Not known,Eubalaena glacialis,Identified to species,Eubalaena glacialis,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
462,2007-05-13T00:00:00Z,NA,Pacific Ocean - North,"Sacramento River, San Francisco, California, USA",Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,"Humpback whale mother-calf pair injured and wayward in Sacramento River, California, USA (mother) On May 30 the humpback whales left 'discreetly' in the middle of the night, after antibiotics treatment for their infected wounds.",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
463,2007-05-13T00:00:00Z,NA,Pacific Ocean - North,"Sacramento River, San Francisco, California, USA",Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,"Humpback whale mother-calf pair injured and wayward in Sacramento River, California, USA (calf) named ""Dawn"", accompanied by mother. Tentative location. On May 30 the humpback whales left 'discreetly' in the middle of the night, after antibiotics treatmen",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
464,2005-02-28T00:00:00Z,NA,Pacific Ocean - North,"Puamana, Maui, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,"Humpback whale observed with injuries, Hawaii, USA No more information for this record in Lammerd et al. (2006)",Motor yacht (unknwon size),Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Motor yacht (unknown size),Recreational or small craft,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2005,2005,2005,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
465,2006-03-15T00:00:00Z,NA,Pacific Ocean - North,"Maalea, Maui, Hawaii",Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,"Injured humpback whale calf observed with injuries, Hawaii, USA Tentative location",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
466,1999-09-10T00:00:00Z,NA,Atlantic Ocean - North,"Off south La Gomera Island, Canary Islands",Balaenoptera edeni,Bryde's whale,Tentative,At Sea,NA,NA,"Bryde's whale drifting with heavy cuts, Canary Islands Tentative location.",Not known,Balaenoptera edeni,Identified to species,Balaenoptera edeni,Tentative,Not confirmed or missing,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,TRUE,FALSE,FALSE,FALSE,FALSE
467,1998-06-07T00:00:00Z,NA,NA,NA,Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,"Jensen and Silber 2003. Humpback in Boston harbour, Massachusetts, 1998 (2 specimens) 2 humpback Boston harbour",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Unknown,Unknown,NA,Exact date,1998,1998,1998,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
468,2007-09-19T00:00:00Z,NA,Pacific Ocean - North,"Santa Barbara Channel, Ventura County, California, US West coast",Balaenoptera musculus,blue whale,Confirmed,At Sea,NA,NA,"Blue whale floating and towed ashore with smashed cranium and propeller scars on back and rostrum, Ventura County, California Towed ashore for necropsy",Not known,Balaenoptera musculus,Identified to species,Balaenoptera musculus,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - North,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
469,2007-12-17T00:00:00Z,NA,Pacific Ocean - Tasman Sea,Tasmanian's East Coast,Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,"Humpback whale spotted with massive propeller scars, Tasmania Source: Marine Connection Web Page, - Marine Impacts News.htm. Tentative geographic position",Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - Tasman Sea,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
470,2007-12-01T00:00:00Z,December 2007,Pacific Ocean - Tasman Sea,Tasmania's East Coas,Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,Humpback whale with healed propeller scars spotted off Tasmania Source: Marineconnection.com. Approximate location,Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - Tasman Sea,Pacific Ocean,december 2007,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
471,NA,2007,Pacific Ocean - Tasman Sea,East Tasmania,Megaptera novaeangliae,humpback whale,Confirmed,At Sea,NA,NA,Boat owners have been urged to take care after whales were spotted off Tasmania's East Coast with extreme propeller injuries. (The Mercury),Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,At sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - Tasman Sea,Pacific Ocean,2007,Descriptive year,2007,2007,2007,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
472,1997-09-09T00:00:00Z,NA,Pacific Ocean - South,"Pakari Beach, New Zealand",Balaenoptera edeni,Bryde's whale,Confirmed,Found on Shore,NA,NA,NA,Not known,Balaenoptera edeni,Identified to species,Balaenoptera edeni,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1997,1997,1997,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
473,1999-08-13T00:00:00Z,NA,Pacific Ocean - South,"Westend Beach, Tawharanui, New Zealand",Balaenoptera edeni,Bryde's whale,Confirmed,Found on Shore,NA,NA,NA,Not known,Balaenoptera edeni,Identified to species,Balaenoptera edeni,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1999,1999,1999,Exact date,1990s,TRUE,FALSE,TRUE,FALSE,FALSE
474,2000-10-27T00:00:00Z,NA,Pacific Ocean - South,"Daniels Bay, near Leigh, New Zealand",Balaenoptera edeni,Bryde's whale,Confirmed,Found on Shore,NA,NA,NA,Not known,Balaenoptera edeni,Identified to species,Balaenoptera edeni,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2000,2000,2000,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
475,2003-01-07T00:00:00Z,NA,Pacific Ocean - South,"4 nm east Takata Peninsula, New Zealand",Balaenoptera edeni,Bryde's whale,Confirmed,Found on Shore,NA,NA,NA,Not known,Balaenoptera edeni,Identified to species,Balaenoptera edeni,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2003,2003,2003,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
476,2007-02-04T00:00:00Z,NA,Pacific Ocean - South,"SE of Tiritiri Matangi, New Zealand",Balaenoptera edeni,Bryde's whale,Confirmed,Found on Shore,NA,NA,NA,Not known,Balaenoptera edeni,Identified to species,Balaenoptera edeni,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
477,2007-10-01T00:00:00Z,NA,Pacific Ocean - South,"Waipu Cove, New Zealand",Balaenoptera edeni,Bryde's whale,Confirmed,Found on Shore,NA,NA,NA,Not known,Balaenoptera edeni,Identified to species,Balaenoptera edeni,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
478,2007-04-23T00:00:00Z,NA,Pacific Ocean - Sea of Japan/East Sea,Korea Strait,Balaenoptera acutorostrata,Common minke whale,Confirmed,Collision,Observed by crew,Indeterminate visible injury,SC/60/ProgRepKorea,"Fast ferry (>25knots, >300grt)",Balaenoptera acutorostrata,Identified to species,Balaenoptera acutorostrata,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,"Fast ferry (>25knots, >300grt)",Passenger or ferry,Pacific Ocean - Sea of Japan/East Sea,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
479,NA,2007,Pacific Ocean - South,East Coast Tasmania,Megaptera novaeangliae,humpback whale,Confirmed,Collision,NA,Not known,SC/60/ProgRepAustralia,Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,2007,Descriptive year,2007,2007,2007,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
480,2007-08-29T00:00:00Z,NA,Pacific Ocean - Coral Sea,Whitsundays,Megaptera novaeangliae,humpback whale,Confirmed,Collision,Observed by tourism operator. Vessel operator collided with whale then spent ten minutes observing the animal. No visible injuries or changes in behaviour. Contact Col Limpus/EPA-QLD,NA,SC/60/ProgRepAustralia,Other,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Other,Other or industrial,Pacific Ocean - Coral Sea,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
481,2007-09-17T00:00:00Z,NA,Pacific Ocean - Coral Sea,Near Dunk Island,Megaptera novaeangliae,humpback whale,Confirmed,Collision,Both mother and calf observed by tourism operator with propellor cuts. Contact Col Limpus/EPA-QLD,NA,SC/60/ProgRepAustralia,Not known,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - Coral Sea,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
482,2007-08-12T00:00:00Z,NA,Pacific Ocean - South,Off south coast of Australia,Physeter macrocephalus,sperm whale,Confirmed,Found at Sea,NA,NA,SC/60/ProgRepAustralia,Not known,Physeter macrocephalus,Identified to species,Physeter macrocephalus,Confirmed,Confirmed identification,Found at sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
483,2007-03-17T00:00:00Z,NA,Atlantic Ocean - South,"Off south coast of Sao Paulo State, Brazil",Megaptera novaeangliae,humpback whale,Confirmed,Collision,Crew observed tail cut in half and marks on back. Contact A.R. Santos-Lopes (IPec),Severe external visible injury,SC/60/ProgRepBrazil,Naval vessel,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Naval vessel,Government or naval,Atlantic Ocean - South,Atlantic Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
484,NA,Before May 2007,Arctic Ocean - Davis Strait,Off Nuuk,Megaptera novaeangliae,humpback whale,Confirmed,Collision,A skiff collided with the whale. Man overboard (non-fatal),Not known,SC/60/ProgRepDenmark,Other,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Other,Other or industrial,Arctic Ocean - Davis Strait,Arctic Ocean,before may 2007,Before specified date,NA,2007,NA,No single usable year,NA,TRUE,FALSE,TRUE,FALSE,FALSE
485,2005-03-10T00:00:00Z,NA,Atlantic Ocean - North,"Cumberland Island, Georgia, US",Eubalaena glacialis,North Atlantic right whale,Confirmed,Collision,Contact Tim Cole/NEFSC Ref Doc 08-04,Indeterminate visible injury,SC/60/ProgRepUSA,Not known,Eubalaena glacialis,Identified to species,Eubalaena glacialis,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2005,2005,2005,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
486,2005-08-28T00:00:00Z,NA,Atlantic Ocean - North,"Monomoy Island, Massachusetts, US",Eubalaena glacialis,North Atlantic right whale,Confirmed,Collision,Female whale. Contact Tim Cole/NEFSC Ref Doc 08-04,Death,SC/60/ProgRepUSA,Not known,Eubalaena glacialis,Identified to species,Eubalaena glacialis,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,NA,Exact date,2005,2005,2005,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
487,2006-07-21T00:00:00Z,NA,Atlantic Ocean - Ligurian Sea,Ligurian Sea,Balaenoptera physalus,fin whale,Confirmed,Found at Sea,NA,NA,SC/60/ProgRepItaly,Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Found at sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - Ligurian Sea,Atlantic Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
488,2006-07-08T00:00:00Z,NA,Atlantic Ocean - Ligurian Sea,Ligurian Sea,Balaenoptera physalus,fin whale,Confirmed,Found at Sea,NA,NA,SC/60/ProgRepItaly,Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Found at sea,At-sea evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - Ligurian Sea,Atlantic Ocean,NA,Exact date,2006,2006,2006,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
489,2007-04-20T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"Barcelona Harbour, Spain",Balaenoptera physalus,fin whale,Confirmed,Collision,Observed by crew. Contact Fundacion CRAM,Not known,SC/60/ProgRepSpain,Naval vessel,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Naval vessel,Government or naval,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
490,NA,2007,Atlantic Ocean - North,Canary Islands,Balaenoptera physalus,fin whale,Confirmed,Found on Shore,NA,NA,SC/60/ProgRepSpain,Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,2007,Descriptive year,2007,2007,2007,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
491,NA,2007,Atlantic Ocean - North,Canary Islands,Mesoplodon bidens,Sowerby's beaked whale,Confirmed,Found on Shore,NA,NA,SC/60/ProgRepSpain,Not known,Mesoplodon bidens,Identified to species,Mesoplodon bidens,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,2007,Descriptive year,2007,2007,2007,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
492,NA,2007,Atlantic Ocean - North,Canary Islands,Kogia breviceps,pygmy sperm whale,Confirmed,Found on Shore,NA,NA,SC/60/ProgRepSpain,Not known,Kogia breviceps,Identified to species,Kogia breviceps,Confirmed,Confirmed identification,Found on shore,Shore-based evidence,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - North,Atlantic Ocean,2007,Descriptive year,2007,2007,2007,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
493,2008-05-23T00:00:00Z,NA,Atlantic Ocean - English Channel,Eastern English Channel,Balaenoptera physalus,fin whale,Confirmed,Collision,Observed by French Navy. Contact O. Van Canneyt (CRMM/ULR),Death,SC/60/ProgRepFrance,Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - English Channel,Atlantic Ocean,NA,Exact date,2008,2008,2008,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
494,2007-10-18T00:00:00Z,NA,Atlantic Ocean - English Channel,Eastern English Channel,Balaenoptera physalus,fin whale,Confirmed,Collision,Observed by French Navy and CRMM. Contact O. Van Canneyt (CRMM/ULR),Death,SC/60/ProgRepFrance,Not known,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Atlantic Ocean - English Channel,Atlantic Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,TRUE,TRUE,FALSE,TRUE
495,2007-06-08T00:00:00Z,NA,Atlantic Ocean - Mediterranean Sea,"Off Toulon, France, NW Mediterranean",Balaenoptera physalus,fin whale,Confirmed,Collision,Observed by crew. Contact F. Dupraz (GECEM),Death,SC/60/ProgRepFrance,Naval vessel,Balaenoptera physalus,Identified to species,Balaenoptera physalus,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Naval vessel,Government or naval,Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,NA,Exact date,2007,2007,2007,Exact date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
496,2008-01-17T00:00:00Z,NA,Pacific Ocean - Sea of Japan/East Sea,Korea Strait,Balaenoptera acutorostrata,Common minke whale,Confirmed,Collision,Observed by crew. Contact CRI/NFRDI,Indeterminate visible injury,SC/61/ProgRepKorea,"Fast ferry (>25knots, >300grt)",Balaenoptera acutorostrata,Identified to species,Balaenoptera acutorostrata,Confirmed,Confirmed identification,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,"Fast ferry (>25knots, >300grt)",Passenger or ferry,Pacific Ocean - Sea of Japan/East Sea,Pacific Ocean,NA,Exact date,2008,2008,2008,Exact date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
